,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2020-08-10,38182.078125,-0.9997,0.128,0.79,0.082,38168.421875,38430.691406,38073.289063,17200.0
2020-08-11,38407.011719,-0.9998,0.127,0.804,0.069,38371.339844,38556.269531,38313.058594,18700.0
2020-08-12,38369.628906,-0.9997,0.118,0.813,0.069,38321.128906,38414.371094,38125.808594,25300.0
2020-08-13,38310.488281,-0.9998,0.138,0.778,0.084,38456.640625,38516.851563,38215.050781,15400.0
2020-08-14,37877.339844,-0.9989,0.091,0.847,0.061,38432.941406,38540.570313,37654.921875,18600.0
2020-08-17,38050.78125,-0.9993,0.102,0.829,0.069,38062.070313,38119.378906,37734.140625,21500.0
2020-08-18,38528.320313,-0.9999,0.147,0.768,0.085,38084.699219,38571.230469,38062.011719,13600.0
2020-08-19,38614.789063,-0.9998,0.126,0.805,0.068,38727.890625,38788.511719,38550.648438,12800.0
2020-08-20,38220.390625,-0.9995,0.103,0.829,0.068,38283.898438,38402.449219,38155.78125,15800.0
2020-08-21,38434.71875,-0.9995,0.12,0.797,0.083,38471.929688,38579.828125,38411.371094,16800.0
2020-08-24,38799.078125,-0.9996,0.127,0.786,0.087,38566.960938,38894.941406,38545.761719,28100.0
2020-08-25,38843.878906,-0.9997,0.11,0.828,0.062,38948.460938,39008.890625,38679.671875,15700.0
2020-08-26,39073.921875,-0.9999,0.169,0.762,0.068,38930.179688,39111.550781,38765.089844,16400.0
2020-08-27,39113.46875,-0.9996,0.127,0.783,0.091,39293.53125,39326.980469,39046.941406,14500.0
2020-08-28,39467.308594,-0.9995,0.118,0.796,0.086,39264.480469,39579.578125,39235.03125,22500.0
2020-08-31,38628.289063,-0.9999,0.153,0.761,0.087,39888.148438,40010.171875,38395.890625,27900.0
2020-09-01,38900.800781,-0.9998,0.135,0.783,0.082,38754.0,39226.820313,38542.109375,22000.0
2020-09-02,39086.03125,-0.9995,0.11,0.815,0.075,38892.640625,39141.839844,38736.21875,17100.0
2020-09-03,38990.941406,-0.9999,0.167,0.757,0.077,39165.800781,39236.359375,38943.429688,9200.0
2020-09-04,38357.179688,-0.9998,0.136,0.789,0.076,38325.0,38729.660156,38249.769531,15400.0
2020-09-07,38417.230469,-0.9997,0.128,0.793,0.079,38284.78125,38519.921875,38060.738281,12500.0
2020-09-08,38365.351563,-0.9998,0.14,0.772,0.088,38498.070313,38746.480469,38275.449219,11900.0
2020-09-09,38193.921875,-0.9998,0.128,0.801,0.071,37988.558594,38252.671875,37935.261719,14000.0
2020-09-10,38840.320313,-0.9997,0.124,0.793,0.082,38516.878906,38878.25,38367.070313,16500.0
